title,dates
Abstract Expressionism,1946-...
Academic Art,1560-1900
Aestheticism,1868-1900
Art Deco,1920-1939
Art Nouveau,1890-1914
Baroque,1600-1725
Classicism,1590-1800
Constructivism,1919-1932
Contemporary Art,1980-...
Cubism,1907-1921
Dada,1916-1922
Expressionism,1912-...
Flemish Mannerism,1600-1640
Folk art,1850-...
Futurism,1909-1914
Geometric Abstraction,1910-1960
German Renaissance,1450-...
Gotic,1150-1375
Impressionism,1860-...
Mannerism,1520-1580
Minimalism,1960-...
Modernism,1875-1960
Naïve art,1800-...
Neoclassicism,1750-1860
Photorealism,1960-1980
Pop Art,1950-...
Post Impressionism,1886-1905
Primitivism,1890-...
Regionalism,1925-1945
Reinassance,1300-1700
Renaissance,1300-1700
Rococo,1730-...
Romanticism,1770-1850
Street Art,1970-...
Suprematism,1915-...
Surrealism,1920-...
Symbolism,1857-1890
Ukiyo-e,1620-1912