name,born,died,origin
Albrecht Dürer,1471,1528,German
Alice Bailly,1872,1938,Swiss
Andy Warhol,1928,1987,American
Banksy,-,-,-
Carl Andre,1935,-,American
Christopher R. W. Nevinson,1889,1946,English
Claude Monet,1840,1926,French
Claudio Bravo,1936,2011,Chilean
Cornelis van Haarlem,1562,1638,Dutch
Dante Gabriel Rossetti,1828,1882,English
David Bomberg,1890,1957,British
Duccio di Buoninsegna,1255-1260,1318-1319,Italian
Edouard Manet,1832,1883,French
Edvard Munch,1863,1944,Norwegian
Edward Hicks,1780,1849,American
Edwin Long,1829,1891,British
Egon Schiele,1890,1918,Austrian
Élisabeth Vigée Le Brun,1755,1842,French
Emily Carr,1871,1945,Canadian
Francisco Goya,1746,1828,Spanish
François Boucher,1703,1770,French
Frida Kahlo,1907,1954,Mexican
Georg Baselitz,1938,-,German
Gerard van Honthorst,1592,1656,Dutch
Giorgio de Chirico,1888,1978,Italian
Grant Wood,1891,1942,American
Gustav Klimt,1862,1918,Austrian
Hans Holbein,1497,1543,German-Swiss
Henri de Toulouse-Lautrec,1864,1901,French
Henri Matisse,1869,1954,French
Henri Rousseau,1844,1910,French
Ivan Aivazovsky,1817,1900,Russian
Jacques-Louis David,1748,1825,French
James McNeill Whistler,1834,1903,American
Jamini Roy ,1887,1972,Indian
Joaquín Torres-García,1874,1949,Uruguayan-Spanish
Johannes Vermeer,1632,1675,Dutch
Joseph Stella,1877,1946,Italian
Juan Gris,1887,1927,Spanish
Kara Walker,1969,-,American
Katsushika Hokusai,1760,1849,Japanese
Kazimir Malevich,1879,1935,Polish
Lazar Khidekel,1904,1986,Soviet
Lee Krasner,1908,1984,American
Liubov Popova,1889,1924,Russian-Soviet
Louis Lozowick,1892,1973,Ukrainian
Lovis Corinth,1858,1925,German
"M,Chat",-,-,-
Nicolas Poussin,1594,1665,French
Parmigianino,1503,1540,Italian
Paul Cézanne,1839,1906,French
Paul Klee,1879,1940,German
Paul Vera,1882,1957,French
Pedro Américo,1843,1905,Brazilian
Peter Paul Rubens,1577,1640,Flemish
Pieter Bruegel the Elder,1525-1530,1569,Dutch
Richard Estes,1932,-,American
Richard Hamilton,1922,2011,English
Samson Flexor,1907,1971,French-Brazilian
Sandro Botticelli,1445,1510,Italian
Sol Lewitt,1928,2007,American
Tamara de Lempicka,1898,1980,Polish
Theo van Doesburg,1883,1931,Dutch
Théophile-Alexandre Steinlen,1859,1923,French
Vincent van Gogh,1853,1890,Dutch
Willem de Kooning,1904,1997,Dutch-American
William Henry Johnson,1901,1970,American
William-Adolphe Bouguereau,1825,1905,French